ep: 0	reward: 232	timer: 14.5	goals: 1
ep: 1	reward: -30	timer: 10.0	goals: 0
ep: 2	reward: -20	timer: 10.0	goals: 0
ep: 3	reward: -20	timer: 10.0	goals: 0
ep: 4	reward: -20	timer: 10.0	goals: 0
ep: 5	reward: -20	timer: 10.0	goals: 0
ep: 6	reward: -20	timer: 10.0	goals: 0
ep: 7	reward: -20	timer: 10.0	goals: 0
ep: 8	reward: -20	timer: 10.0	goals: 0
ep: 9	reward: -20	timer: 10.0	goals: 0
ep: 10	reward: -20	timer: 10.0	goals: 0
ep: 11	reward: -20	timer: 10.0	goals: 0
ep: 12	reward: -20	timer: 10.0	goals: 0
ep: 13	reward: -20	timer: 10.0	goals: 0
ep: 14	reward: -20	timer: 10.0	goals: 0
